일자,"국고채권(1년)","국고채권(3년)","국고채권(5년)","국고채권(10년)","통안증권(91일)","통안증권(1년)","통안증권(2년)"
2024-11-22,2.866,2.816,2.872,2.976,3.046,2.812,2.88
2024-11-21,2.872,2.829,2.883,2.978,3.045,2.817,2.892
2024-11-20,2.886,2.873,2.92,3.017,3.05,2.836,2.93
2024-11-19,2.89,2.889,2.937,3.036,3.05,2.842,2.941
2024-11-18,2.894,2.915,2.967,3.063,3.054,2.851,2.961
2024-11-15,2.893,2.941,2.991,3.084,3.06,2.859,2.977
2024-11-14,2.873,2.929,2.986,3.074,3.05,2.84,2.965
2024-11-13,2.875,2.939,2.984,3.067,3.052,2.845,2.979
2024-11-12,2.855,2.9,2.939,3.014,3.044,2.831,2.944
2024-11-11,2.858,2.901,2.948,3.038,3.046,2.836,2.943
2024-11-08,2.847,2.889,2.942,3.049,3.036,2.829,2.926
2024-11-07,2.858,2.922,2.978,3.098,3.049,2.844,2.951
2024-11-06,2.867,2.96,3.023,3.134,3.055,2.856,2.982
2024-11-05,2.858,2.918,2.971,3.073,3.049,2.838,2.94
2024-11-04,2.87,2.935,2.994,3.096,3.051,2.843,2.95
2024-11-01,2.875,2.939,2.995,3.09,3.052,2.844,2.948
2024-10-31,2.875,2.936,2.998,3.1,3.055,2.849,2.949
2024-10-30,2.87,2.937,3.002,3.105,3.055,2.848,2.95
2024-10-29,2.867,2.936,3.009,3.118,3.058,2.85,2.943
2024-10-28,2.873,2.932,3.008,3.117,3.065,2.859,2.926
2024-10-25,2.851,2.882,2.941,3.054,3.051,2.834,2.88
2024-10-24,2.853,2.891,2.956,3.074,3.05,2.84,2.884
2024-10-23,2.879,2.936,3.011,3.128,3.074,2.877,2.923
2024-10-22,2.879,2.943,3.014,3.13,3.077,2.877,2.925
2024-10-21,2.862,2.902,2.963,3.054,3.077,2.875,2.902
2024-10-18,2.862,2.908,2.971,3.072,3.087,2.874,2.915
2024-10-17,2.85,2.897,2.946,3.028,3.083,2.857,2.899
2024-10-16,2.842,2.88,2.924,3.008,3.081,2.845,2.882
2024-10-15,2.849,2.906,2.963,3.05,3.091,2.851,2.906
2024-10-14,2.857,2.938,2.997,3.087,3.105,2.861,2.928
2024-10-11,2.856,2.947,2.998,3.085,3.119,2.872,2.944
2024-10-10,2.866,2.962,3.014,3.088,3.13,2.883,2.957
2024-10-08,2.852,2.932,2.998,3.077,3.139,2.878,2.943
2024-10-07,2.861,2.96,3.018,3.101,3.171,2.89,2.962
2024-10-04,2.827,2.824,2.899,2.996,3.158,2.854,2.853
2024-10-02,2.809,2.78,2.843,2.932,3.151,2.835,2.833
