일자,채권평가사 평균수익률_수익률,채권평가사 평균수익률_대비,채권평가사 평균가격_가격,채권평가사 평균가격_대비
2024/11/22,3.206,-0.01,10248.0,4.0
2024/11/21,3.216,-0.038,10244.0,10.0
2024/11/20,3.254,-0.014,10234.0,4.0
2024/11/19,3.268,-0.025,10230.0,8.0
2024/11/18,3.293,-0.023,10222.0,8.0
2024/11/15,3.316,0.012,10214.0,-2.0
2024/11/14,3.304,-0.015,10216.0,5.0
2024/11/13,3.319,0.041,10211.0,-10.0
2024/11/12,3.278,0.002,10221.0,1.0
2024/11/11,3.276,0.014,10220.0,-1.0
2024/11/08,3.262,-0.034,10221.0,9.0
2024/11/07,3.296,-0.03,10212.0,9.0
2024/11/06,3.326,0.04,10203.0,-9.0
2024/11/05,3.286,-0.015,10212.0,4.0
2024/11/04,3.301,-0.009,10208.0,5.0
2024/11/01,3.31,0.011,10203.0,-1.0
2024/10/31,3.299,-0.004,10204.0,1.0
2024/10/30,3.303,0.003,10203.0,1.0
2024/10/29,3.3,0.001,10202.0,0.0
2024/10/28,3.299,0.043,10202.0,-8.0
2024/10/25,3.256,-0.006,10210.0,3.0
2024/10/24,3.262,-0.041,10207.0,11.0
2024/10/23,3.303,-0.006,10196.0,2.0
2024/10/22,3.309,0.029,10194.0,-6.0
2024/10/21,3.28,-0.012,10200.0,6.0
2024/10/18,3.292,0.018,10194.0,-4.0
2024/10/17,3.274,0.019,10198.0,-4.0
2024/10/16,3.255,-0.033,10202.0,9.0
2024/10/15,3.288,-0.024,10193.0,8.0
2024/10/14,3.312,-0.013,10185.0,6.0
2024/10/11,3.325,-0.017,10179.0,5.0
2024/10/10,3.342,0.019,10174.0,-3.0
2024/10/08,3.323,-0.026,10177.0,7.0
2024/10/07,3.349,0.123,10170.0,-28.0
2024/10/04,3.226,0.039,10198.0,-9.0
2024/10/02,3.187,-0.025,10207.0,9.0
2024/09/30,3.212,-0.013,10198.0,5.0
2024/09/27,3.225,0.015,10193.0,-2.0
2024/09/26,3.21,-0.001,10195.0,1.0
2024/09/25,3.211,-0.037,10194.0,10.0
2024/09/24,3.248,-0.008,10184.0,3.0
2024/09/23,3.256,0.021,10181.0,-3.0
2024/09/20,3.235,0.0,10184.0,1.0
2024/09/19,3.235,0.015,10183.0,2.0
2024/09/13,3.22,-0.049,10181.0,14.0
2024/09/12,3.269,0.056,10167.0,-14.0
2024/09/11,3.213,-0.044,10181.0,12.0
2024/09/10,3.257,-0.015,10169.0,5.0
2024/09/09,3.272,0.014,10164.0,-98.0
2024/09/06,3.258,-0.029,10262.0,8.0
2024/09/05,3.287,-0.015,10254.0,5.0
2024/09/04,3.302,-0.046,10249.0,13.0
2024/09/03,3.348,-0.007,10236.0,3.0
2024/09/02,3.355,0.038,10233.0,-7.0
2024/08/30,3.317,0.017,10240.0,-4.0
2024/08/29,3.3,0.03,10244.0,-7.0
2024/08/28,3.27,-0.013,10251.0,4.0
2024/08/27,3.283,0.044,10247.0,-10.0
2024/08/26,3.239,-0.023,10257.0,8.0
2024/08/23,3.262,0.017,10249.0,-3.0
2024/08/22,3.245,-0.035,10252.0,10.0
2024/08/21,3.28,-0.005,10242.0,3.0
2024/08/20,3.285,0.022,10239.0,-6.0
2024/08/19,3.263,0.006,10245.0,2.0
2024/08/16,3.257,0.04,10243.0,-10.0
2024/08/14,3.217,-0.023,10253.0,8.0
2024/08/13,3.24,-0.027,10245.0,8.0
2024/08/12,3.267,0.007,10237.0,1.0
2024/08/09,3.26,0.023,10236.0,-6.0
2024/08/08,3.237,-0.012,10242.0,4.0
2024/08/07,3.249,-0.002,10238.0,2.0
2024/08/06,3.251,0.121,10236.0,-32.0
2024/08/05,3.13,-0.117,10268.0,34.0
2024/08/02,3.247,-0.038,10234.0,12.0
2024/08/01,3.285,-0.025,10222.0,7.0
2024/07/31,3.31,0.006,10215.0,0.0
2024/07/30,3.304,0.024,10215.0,-6.0
2024/07/29,3.28,-0.043,10221.0,15.0
2024/07/26,3.323,0.0,10206.0,1.0
2024/07/25,3.323,-0.026,10205.0,8.0
2024/07/24,3.349,-0.048,10197.0,14.0
2024/07/23,3.397,0.015,10183.0,-3.0
2024/07/22,3.382,-0.005,10186.0,4.0
2024/07/19,3.387,0.014,10182.0,-3.0
2024/07/18,3.373,0.006,10185.0,-1.0
2024/07/17,3.367,0.019,10186.0,-4.0
2024/07/16,3.348,-0.033,10190.0,10.0
2024/07/15,3.381,-0.02,10180.0,8.0
2024/07/12,3.401,-0.053,10172.0,16.0
2024/07/11,3.454,0.034,10156.0,-9.0
2024/07/10,3.42,-0.003,10165.0,2.0
2024/07/09,3.423,-0.001,10163.0,1.0
2024/07/08,3.424,-0.004,10162.0,4.0
2024/07/05,3.428,-0.011,10158.0,4.0
2024/07/04,3.439,-0.037,10154.0,12.0
2024/07/03,3.476,-0.007,10142.0,2.0
2024/07/02,3.483,-0.044,10140.0,14.0
2024/07/01,3.527,0.031,10126.0,-6.0
2024/06/28,3.496,-0.036,10132.0,11.0
2024/06/27,3.532,0.005,10121.0,-1.0
2024/06/26,3.527,0.008,10122.0,-1.0
2024/06/25,3.519,0.005,10123.0,0.0
2024/06/24,3.514,0.031,10123.0,-6.0
2024/06/21,3.483,-0.033,10129.0,10.0
2024/06/20,3.516,0.045,10119.0,-12.0
2024/06/19,3.471,-0.046,10131.0,15.0
2024/06/18,3.517,-0.002,10116.0,1.0
2024/06/17,3.519,-0.035,10115.0,13.0
2024/06/14,3.554,-0.041,10102.0,12.0
2024/06/13,3.595,-0.014,10090.0,5.0
2024/06/12,3.609,-0.039,10085.0,12.0
2024/06/11,3.648,-0.014,10073.0,5.0
2024/06/10,3.662,0.055,10068.0,-110.0
2024/06/07,3.607,-0.029,10178.0,11.0
2024/06/05,3.636,-0.043,10167.0,13.0
2024/06/04,3.679,-0.041,10154.0,12.0
2024/06/03,3.72,-0.023,10142.0,10.0
2024/05/31,3.743,0.008,10132.0,-1.0
2024/05/30,3.735,0.018,10133.0,-4.0
2024/05/29,3.717,0.033,10137.0,-9.0
2024/05/28,3.684,-0.021,10146.0,7.0
2024/05/27,3.705,-0.004,10139.0,4.0
2024/05/24,3.709,0.016,10135.0,-3.0
2024/05/23,3.693,-0.017,10138.0,6.0
2024/05/22,3.71,0.003,10132.0,0.0
2024/05/21,3.707,0.003,10132.0,0.0
2024/05/20,3.704,0.032,10132.0,-6.0
2024/05/17,3.672,-0.003,10138.0,2.0
2024/05/16,3.675,-0.068,10136.0,22.0
2024/05/14,3.743,-0.001,10114.0,1.0
2024/05/13,3.744,0.017,10113.0,-2.0
2024/05/10,3.727,-0.019,10115.0,7.0
2024/05/09,3.746,0.011,10108.0,-3.0
2024/05/08,3.735,-0.007,10111.0,3.0
2024/05/07,3.742,-0.063,10108.0,23.0
2024/05/03,3.805,-0.007,10085.0,3.0
2024/05/02,3.812,-0.018,10082.0,7.0
2024/04/30,3.83,-0.014,10075.0,6.0
2024/04/29,3.844,0.016,10069.0,-2.0
2024/04/26,3.828,-0.029,10071.0,9.0
2024/04/25,3.857,0.028,10062.0,-7.0
2024/04/24,3.829,0.017,10069.0,-4.0
2024/04/23,3.812,-0.023,10073.0,8.0
2024/04/22,3.835,0.028,10065.0,-5.0
