일자,종목명,발행시만기,잔존만기,회사채수익률,국고채수익률,스프레드
2024-11-22,우리금융지주9,1.0,0.62,3.355,2.866,0.4889999999999999
2024-11-21,우리금융지주9,1.0,0.62,3.354,2.872,0.4820000000000002
2024-11-20,우리금융지주9,1.0,0.62,3.353,2.886,0.4670000000000001
2024-11-19,우리금융지주9,1.0,0.62,3.352,2.89,0.46199999999999974
2024-11-18,우리금융지주9,1.0,0.62,3.351,2.894,0.45699999999999985
2024-11-15,우리금융지주9,1.0,0.62,3.353,2.893,0.4600000000000004
2024-11-14,우리금융지주9,1.0,0.62,3.349,2.873,0.476
2024-11-13,우리금융지주9,1.0,0.62,3.346,2.875,0.4710000000000001
2024-11-12,우리금융지주9,1.0,0.62,3.329,2.855,0.4740000000000002
2024-11-11,우리금융지주9,1.0,0.62,3.323,2.858,0.46499999999999986
2024-11-08,우리금융지주9,1.0,0.62,3.317,2.847,0.4700000000000002
2024-11-07,우리금융지주9,1.0,0.62,3.306,2.858,0.44799999999999995
2024-11-06,우리금융지주9,1.0,0.62,3.309,2.867,0.44200000000000017
2024-11-05,우리금융지주9,1.0,0.62,3.301,2.858,0.44300000000000006
2024-11-04,우리금융지주9,1.0,0.62,3.296,2.87,0.4259999999999997
2024-11-01,우리금융지주9,1.0,0.62,3.291,2.875,0.4159999999999999
2024-10-31,우리금융지주9,1.0,0.62,3.29,2.875,0.41500000000000004
2024-10-30,우리금융지주9,1.0,0.62,3.288,2.87,0.4179999999999997
2024-10-29,우리금융지주9,1.0,0.62,3.284,2.867,0.4169999999999998
2024-10-28,우리금융지주9,1.0,0.62,3.283,2.873,0.4099999999999997
2024-10-25,우리금융지주9,1.0,0.62,3.278,2.851,0.42700000000000005
2024-10-24,우리금융지주9,1.0,0.62,3.283,2.853,0.4299999999999997
2024-10-23,우리금융지주9,1.0,0.62,3.286,2.879,0.40700000000000003
2024-10-22,우리금융지주9,1.0,0.62,3.28,2.879,0.4009999999999998
2024-10-21,우리금융지주9,1.0,0.62,3.273,2.862,0.41100000000000003
2024-10-18,우리금융지주9,1.0,0.62,3.29,2.862,0.42799999999999994
2024-10-17,우리금융지주9,1.0,0.62,3.283,2.85,0.43299999999999983
2024-10-16,우리금융지주9,1.0,0.62,3.281,2.842,0.43900000000000006
