종목명,표준코드,발행일,만기일,발행액,표면금리,이자지급방법,이자지급주기,발행시만기,잔존만기,만기그룹
우리금융지주9,KR6316143E72,2024-07-09,2025-07-09,100000,3.383,이표채,3,1.0,0.62,1.0년
우리금융지주8-1,KR6316141E74,2024-07-08,2025-07-08,50000,3.396,이표채,3,1.0,0.62,1.0년
우리금융지주5-1,KR6316141D67,2023-06-09,2025-06-09,70000,3.997,이표채,3,2.0,0.54,2.0년
우리금융지주6-2,KR6316143D99,2023-09-08,2025-09-08,60000,4.189,이표채,3,2.0,0.79,2.0년
우리금융지주10,KR6316144E71,2024-07-24,2026-07-24,100000,3.315,이표채,3,2.0,1.66,2.0년
우리금융지주8-2,KR6316142E73,2024-07-08,2026-07-08,50000,3.325,이표채,3,2.0,1.62,2.0년
우리금융지주4-1,KR6316141C68,2022-06-08,2025-06-05,30000,3.785,이표채,3,2.99,0.53,2.99년
우리금융지주5-2,KR6316142D66,2023-06-09,2026-06-09,80000,4.041,이표채,3,3.0,1.54,3.0년
우리금융지주6-3,KR6316144D98,2023-09-08,2026-09-08,60000,4.249,이표채,3,3.0,1.79,3.0년
우리금융지주7,KR6316141DB3,2023-11-22,2026-11-20,80000,4.165,이표채,3,3.0,1.98,3.0년
우리금융지주4-2,KR6316142C67,2022-06-08,2027-06-08,50000,3.896,이표채,3,5.0,2.53,5.0년
우리금융지주2-2,KR6316142B76,2021-07-14,2031-07-14,60000,2.193,이표채,3,10.0,6.63,10.0년
