일자,채권평가사 평균수익률_수익률,채권평가사 평균수익률_대비,채권평가사 평균가격_가격,채권평가사 평균가격_대비
"2024/11/22","3.178","-0.010","10190.0","-101"
"2024/11/21","3.188","-0.035","10291.0","8"
"2024/11/20","3.223","-0.015","10283.0","3"
"2024/11/19","3.238","-0.022","10280.0","6"
"2024/11/18","3.260","-0.020","10274.0","6"
"2024/11/15","3.280","0.012","10268.0","-1"
"2024/11/14","3.268","-0.011","10269.0","3"
"2024/11/13","3.279","0.030","10266.0","-5"
"2024/11/12","3.249","0.003","10271.0","0"
"2024/11/11","3.246","0.012","10271.0","1"
"2024/11/08","3.234","-0.029","10270.0","6"
"2024/11/07","3.263","-0.029","10264.0","7"
"2024/11/06","3.292","0.037","10257.0","-6"
"2024/11/05","3.255","-0.015","10263.0","3"
"2024/11/04","3.270","0.002","10260.0","3"
"2024/11/01","3.268","0.001","10257.0","0"
"2024/10/31","3.267","-0.004","10257.0","2"
"2024/10/30","3.271","0.005","10255.0","0"
"2024/10/29","3.266","0.008","10255.0","-1"
"2024/10/28","3.258","0.047","10256.0","-6"
"2024/10/25","3.211","0.000","10262.0","1"
"2024/10/24","3.211","-0.040","10261.0","9"
"2024/10/23","3.251","0.004","10252.0","0"
"2024/10/22","3.247","0.021","10252.0","-4"
"2024/10/21","3.226","-0.015","10256.0","6"
"2024/10/18","3.241","0.014","10250.0","-2"
"2024/10/17","3.227","0.018","10252.0","-3"
"2024/10/16","3.209","-0.023","10255.0","6"
"2024/10/15","3.232","-0.015","10249.0","4"
"2024/10/14","3.247","-0.013","10245.0","5"
"2024/10/11","3.260","-0.021","10240.0","5"
"2024/10/10","3.281","0.016","10235.0","-1"
"2024/10/08","3.265","-0.030","10236.0","7"
"2024/10/07","3.295","0.115","10229.0","-21"
"2024/10/04","3.180","0.034","10250.0","-5"
"2024/10/02","3.146","-0.020","10255.0","6"
"2024/09/30","3.166","-0.022","10249.0","7"
"2024/09/27","3.188","0.012","10242.0","-2"
"2024/09/26","3.176","-0.006","10244.0","2"
"2024/09/25","3.182","-0.036","10242.0","9"
"2024/09/24","3.218","-0.009","10233.0","2"
"2024/09/23","3.227","0.020","10231.0","-1"
"2024/09/20","3.207","-0.003","10232.0","2"
"2024/09/19","3.210","0.007","10230.0","3"
"2024/09/13","3.203","-0.048","10227.0","11"
"2024/09/12","3.251","0.045","10216.0","-8"
"2024/09/11","3.206","-0.038","10224.0","9"
"2024/09/10","3.244","-0.007","10215.0","2"
"2024/09/09","3.251","0.015","10213.0","0"
"2024/09/06","3.236","-0.025","10213.0","6"
"2024/09/05","3.261","-0.015","10207.0","4"
"2024/09/04","3.276","-0.043","10203.0","10"
"2024/09/03","3.319","-0.007","10193.0","3"
"2024/09/02","3.326","0.034","10190.0","-5"
"2024/08/30","3.292","0.016","10195.0","-3"
"2024/08/29","3.276","0.024","10198.0","-4"
"2024/08/28","3.252","-0.011","10202.0","3"
"2024/08/27","3.263","0.042","10199.0","-8"
"2024/08/26","3.221","-0.026","10207.0","8"
"2024/08/23","3.247","0.016","10199.0","-2"
"2024/08/22","3.231","-0.031","10201.0","-97"
"2024/08/21","3.262","-0.003","10298.0","2"
"2024/08/20","3.265","0.019","10296.0","-3"
"2024/08/19","3.246","0.005","10299.0","1"
"2024/08/16","3.241","0.037","10298.0","-6"
"2024/08/14","3.204","-0.020","10304.0","5"
"2024/08/13","3.224","-0.026","10299.0","7"
"2024/08/12","3.250","0.008","10292.0","1"
"2024/08/09","3.242","0.023","10291.0","-4"
"2024/08/08","3.219","-0.014","10295.0","4"
"2024/08/07","3.233","-0.004","10291.0","2"
"2024/08/06","3.237","0.116","10289.0","-26"
"2024/08/05","3.121","-0.116","10315.0","29"
"2024/08/02","3.237","-0.035","10286.0","9"
"2024/08/01","3.272","-0.026","10277.0","7"
"2024/07/31","3.298","0.005","10270.0","-1"
"2024/07/30","3.293","0.023","10271.0","-4"
"2024/07/29","3.270","-0.040","10275.0","12"
"2024/07/26","3.310","0.002","10263.0","0"
"2024/07/25","3.308","-0.026","10263.0","7"
"2024/07/24","3.334","-0.048","10256.0","12"
"2024/07/23","3.382","0.013","10244.0","-2"
"2024/07/22","3.369","-0.005","10246.0","4"
